143, 2022-04-01, Monthly Stand Fees, 1018, 175.00, 26.25, 201.25
144, 2022-04-03, Daily Rental Fees, 1010, 60.00, 9.00, 69.00
145, 2022-04-07, Weekly Rental Fees, 1012, 300.00, 45.00, 345.00
146, 2022-04-10, Daily Rental Fees, 1005, 60.00, 9.00, 69.00
147, 2022-04-13, Weekly Rental Fees, 1014, 300.00, 45.00, 345.00
148, 2022-04-15, Monthly Stand Fees, 1021, 175.00, 26.25, 201.25
149, 2022-04-18, Daily Rental Fees, 1003, 60.00, 9.00, 69.00
150, 2022-04-21, Weekly Rental Fees, 1022, 300.00, 45.00, 345.00
151, 2022-04-25, Monthly Stand Fees, 1001, 175.00, 26.25, 201.25
152, 2022-04-27, Daily Rental Fees, 1023, 60.00, 9.00, 69.00
153, 2022-05-01, Weekly Rental Fees, 1024, 300.00, 45.00, 345.00
154, 2022-05-03, Monthly Stand Fees, 1025, 175.00, 26.25, 201.25
155, 2022-05-05, Daily Rental Fees, 1018, 60.00, 9.00, 69.00
156, 2022-05-07, Weekly Rental Fees, 1010, 300.00, 45.00, 345.00
157, 2022-05-10, Monthly Stand Fees, 1012, 175.00, 26.25, 201.25
158, 2022-05-13, Daily Rental Fees, 1005, 60.00, 9.00, 69.00
159, 2022-05-15, Weekly Rental Fees, 1014, 300.00, 45.00, 345.00
160, 2022-05-01, Monthly Stand Fees, 1021, 175.00, 26.25, 201.25
161, 2022-05-20, Daily Rental Fees, 1003, 60.00, 9.00, 69.00
162, 2022-05-22, Weekly Rental Fees, 1022, 300.00, 45.00, 345.00
163, 2022-06-01, Monthly Stand Fees, 1001, 175.00, 26.25, 201.25
164, 2022-06-02, Daily Rental Fees, 1023, 60.00, 9.00, 69.00
165, 2022-06-04, Weekly Rental Fees, 1024, 300.00, 45.00, 345.00
166, 2022-06-01, Monthly Stand Fees, 1025, 175.00, 26.25, 201.25
167, 2022-06-15, Daily Rental Fees, 1018, 60.00, 9.00, 69.00
168, 2022-06-17, Weekly Rental Fees, 1010, 300.00, 45.00, 345.00
143, 2024-08-12, Monthly Stand Fee, 1500, 175.00, 26.25, 201.25
144, 2024-08-12, Monthly Stand Fee, 1501, 175.00, 26.25, 201.25
145, 2024-08-12, Monthly Stand Fee, 1502, 175.00, 26.25, 201.25
146, 2024-08-12, Monthly Stand Fee, 1628, 175.00, 26.25, 201.25
147, 2024-08-12, Monthly Stand Fee, 1710, 175.00, 26.25, 201.25
148, 2024-08-12, Monthly Stand Fee, 1718, 175.00, 26.25, 201.25
149, 2024-08-12, Monthly Stand Fee, 1920, 175.00, 26.25, 201.25
143, 2024-08-12, Monthly Stand Fee, 1500, 175.00, 26.25, 201.25
144, 2024-08-12, Monthly Stand Fee, 1501, 175.00, 26.25, 201.25
145, 2024-08-12, Monthly Stand Fee, 1502, 175.00, 26.25, 201.25
146, 2024-08-12, Monthly Stand Fee, 1628, 175.00, 26.25, 201.25
147, 2024-08-12, Monthly Stand Fee, 1710, 175.00, 26.25, 201.25
148, 2024-08-12, Monthly Stand Fee, 1718, 175.00, 26.25, 201.25
149, 2024-08-12, Monthly Stand Fee, 1920, 175.00, 26.25, 201.25
143, 2024-08-12, Monthly Stand Fee, 1500, 175.00, 26.25, 201.25
144, 2024-08-12, Monthly Stand Fee, 1501, 175.00, 26.25, 201.25
145, 2024-08-12, Monthly Stand Fee, 1502, 175.00, 26.25, 201.25
146, 2024-08-12, Monthly Stand Fee, 1628, 175.00, 26.25, 201.25
147, 2024-08-12, Monthly Stand Fee, 1710, 175.00, 26.25, 201.25
148, 2024-08-12, Monthly Stand Fee, 1718, 175.00, 26.25, 201.25
149, 2024-08-12, Monthly Stand Fee, 1920, 175.00, 26.25, 201.25
143, 2024-08-12, Monthly Stand Fee, 1500, 175.00, 26.25, 201.25
144, 2024-08-12, Monthly Stand Fee, 1501, 175.00, 26.25, 201.25
145, 2024-08-12, Monthly Stand Fee, 1502, 175.00, 26.25, 201.25
146, 2024-08-12, Monthly Stand Fee, 1628, 175.00, 26.25, 201.25
147, 2024-08-12, Monthly Stand Fee, 1710, 175.00, 26.25, 201.25
148, 2024-08-12, Monthly Stand Fee, 1718, 175.00, 26.25, 201.25
149, 2024-08-12, Monthly Stand Fee, 1920, 175.00, 26.25, 201.25
143, 2024-08-12, Monthly Stand Fee, 1500, 175.00, 26.25, 201.25
144, 2024-08-12, Monthly Stand Fee, 1501, 175.00, 26.25, 201.25
145, 2024-08-12, Monthly Stand Fee, 1502, 175.00, 26.25, 201.25
146, 2024-08-12, Monthly Stand Fee, 1628, 175.00, 26.25, 201.25
147, 2024-08-12, Monthly Stand Fee, 1710, 175.00, 26.25, 201.25
148, 2024-08-12, Monthly Stand Fee, 1718, 175.00, 26.25, 201.25
149, 2024-08-12, Monthly Stand Fee, 1920, 175.00, 26.25, 201.25
143, 2024-08-12, Monthly Stand Fee, 1500, 175.00, 26.25, 201.25
144, 2024-08-12, Monthly Stand Fee, 1501, 175.00, 26.25, 201.25
145, 2024-08-12, Monthly Stand Fee, 1502, 175.00, 26.25, 201.25
146, 2024-08-12, Monthly Stand Fee, 1628, 175.00, 26.25, 201.25
147, 2024-08-12, Monthly Stand Fee, 1710, 175.00, 26.25, 201.25
148, 2024-08-12, Monthly Stand Fee, 1718, 175.00, 26.25, 201.25
149, 2024-08-12, Monthly Stand Fee, 1920, 175.00, 26.25, 201.25
143, 2024-08-12, Monthly Stand Fee, 1500, 175.00, 26.25, 201.25
144, 2024-08-12, Monthly Stand Fee, 1501, 175.00, 26.25, 201.25
145, 2024-08-12, Monthly Stand Fee, 1502, 175.00, 26.25, 201.25
146, 2024-08-12, Monthly Stand Fee, 1628, 175.00, 26.25, 201.25
147, 2024-08-12, Monthly Stand Fee, 1710, 175.00, 26.25, 201.25
148, 2024-08-12, Monthly Stand Fee, 1718, 175.00, 26.25, 201.25
149, 2024-08-12, Monthly Stand Fee, 1920, 175.00, 26.25, 201.25
143, 2024-08-12, Monthly Stand Fee, 1500, 175.00, 26.25, 201.25
144, 2024-08-12, Monthly Stand Fee, 1501, 175.00, 26.25, 201.25
145, 2024-08-12, Monthly Stand Fee, 1502, 175.00, 26.25, 201.25
146, 2024-08-12, Monthly Stand Fee, 1628, 175.00, 26.25, 201.25
147, 2024-08-12, Monthly Stand Fee, 1710, 175.00, 26.25, 201.25
148, 2024-08-12, Monthly Stand Fee, 1718, 175.00, 26.25, 201.25
149, 2024-08-12, Monthly Stand Fee, 1920, 175.00, 26.25, 201.25
143, 2024-08-12, Monthly Stand Fee, 1500, 175.00, 26.25, 201.25
144, 2024-08-12, Monthly Stand Fee, 1501, 175.00, 26.25, 201.25
145, 2024-08-12, Monthly Stand Fee, 1502, 175.00, 26.25, 201.25
146, 2024-08-12, Monthly Stand Fee, 1628, 175.00, 26.25, 201.25
147, 2024-08-12, Monthly Stand Fee, 1710, 175.00, 26.25, 201.25
148, 2024-08-12, Monthly Stand Fee, 1718, 175.00, 26.25, 201.25
149, 2024-08-12, Monthly Stand Fee, 1920, 175.00, 26.25, 201.25
