2001, 2022-04-03, 101, Oil Change, 1004, 50.00, 1, 50.00, 7.50, 57.50
2002, 2022-04-05, 102, Tire Replacement, 1007, 300.00, 4, 300.00, 45.00, 345.00
2003, 2022-04-08, 103, Brake Repair, 1009, 150.00, 1, 150.00, 22.50, 172.50
2004, 2022-04-10, 201, Office Supplies, 1006, 75.00, 10, 75.00, 11.25, 86.25
2005, 2022-04-12, 202, Oil Filters, 1013, 30.00, 5, 30.00, 4.50, 34.50
2006, 2022-04-14, 104, Battery Replacement, 1013, 120.00, 1, 120.00, 18.00, 138.00
2007, 2022-04-19, 105, Transmission Repair, 1011, 800.00, 1, 800.00, 120.00, 920.00
2008, 2022-04-21, 203, Cleaning Supplies, 1005, 40.00, 2, 40.00, 6.00, 46.00
2009, 2022-04-23, 106, Engine Tune-up, 1005, 200.00, 1, 200.00, 30.00, 230.00
2010, 2022-04-25, 204, Computer Software, 1008, 150.00, 1, 150.00, 22.50, 172.50
2011, 2022-04-29, 107, Oil Change, 1002, 50.00, 1, 50.00, 7.50, 57.50
2012, 2022-05-01, 108, Tire Replacement, 1014, 300.00, 4, 300.00, 45.00, 345.00
2013, 2022-05-05, 109, Brake Repair, 1019, 150.00, 1, 150.00, 22.50, 172.50
2014, 2022-05-08, 110, Battery Replacement, 1020, 120.00, 1, 120.00, 18.00, 138.00
2015, 2022-05-10, 205, Office Supplies, 1020, 75.00, 10, 75.00, 11.25, 86.25
2016, 2022-05-12, 111, Transmission Repair, 1003, 800.00, 1, 800.00, 120.00, 920.00
2017, 2022-05-15, 112, Engine Tune-up, 1016, 200.00, 1, 200.00, 30.00, 230.00
2018, 2022-05-18, 113, Oil Change, 1021, 50.00, 1, 50.00, 7.50, 57.50
2019, 2022-05-20, 114, Tire Replacement, 1022, 300.00, 4, 300.00, 45.00, 345.00
2020, 2022-05-22, 115, Brake Repair, 1001, 150.00, 1, 150.00, 22.50, 172.50
2021, 2022-05-25, 116, Battery Replacement, 1000, 120.00, 1, 120.00, 18.00, 138.00
2022, 2022-05-27, 206, Oil Filters, 1023, 30.00, 5, 30.00, 4.50, 34.50
2023, 2022-06-01, 117, Transmission Repair, 1024, 800.00, 1, 800.00, 120.00, 920.00
